"image","Title","Author","Synopsis","Publisher"
"[![Sunrise on the Reaping](https://m.media-amazon.com/images/I/61o5Q8IIq4L._SL1500_.jpg'Sunrise on the Reaping')](https://bookshop.org/a/113618/9781546171461)","[Sunrise on the Reaping](https://bookshop.org/a/113618/9781546171461) (Hardcover)","Suzanne Collins","As the day dawns on the fiftieth annual Hunger Games, fear grips the districts of Panem. This year, in honor of the Quarter Quell, twice as many tributes will be taken from their homes.","Scholastic Press (March 18, 2025)"
"[![The Outsiders](https://m.media-amazon.com/images/I/71Bg39CmhoL._SL1500_.jpg'The Outsiders')](https://bookshop.org/a/113618/9780142407332)","[The Outsiders](https://bookshop.org/a/113618/9780142407332) (Paperback)","S. E. Hinton","The Outsiders is a dramatic and enduring work of fiction that laid the groundwork for the YA genre. S. E. Hinton's classic story of a boy who finds himself on the outskirts of regular society remains as powerful today as it was the day it was first published.","Viking Books for Young Readers (April 20, 2006)"
"[![Twilight (The Twilight Saga, 1)](https://m.media-amazon.com/images/I/71ByzsgT94L._SL1500_.jpg'Twilight (The Twilight Saga, 1)')](https://bookshop.org/a/113618/9780316327336)","[Twilight (The Twilight Saga, 1)](https://bookshop.org/a/113618/9780316327336) (Paperback)","Stephenie Meyer","Isabella Swan's move to Forks, a small, perpetually rainy town in Washington, could have been the most boring move she ever made. But once she meets the mysterious and alluring Edward Cullen, Isabella's life takes a thrilling and terrifying turn.","Little, Brown Books for Young Readers (February 1, 2022)"
"[![The Giver](https://m.media-amazon.com/images/I/81Yq5WKWfSL._SL1500_.jpg'The Giver')](https://bookshop.org/a/113618/9780544336261)","[The Giver](https://bookshop.org/a/113618/9780544336261) (Paperback)","Lois Lowry","Life in the community where Jonas lives is idyllic. Designated birthmothers produce newchildren, who are assigned to appropriate family units. Citizens are assigned their partners and their jobs. No one thinks to ask questions. Everyone obeys. Everyone is the same. Except Jonas.","Clarion Books (July 1, 1993)"
"[![Better Than the Movies](https://m.media-amazon.com/images/I/71Ueu+4aNtL._SL1500_.jpg'Better Than the Movies')](https://bookshop.org/a/113618/9781534467637)","[Better Than the Movies](https://bookshop.org/a/113618/9781534467637) (Paperback)","Lynn Painter","Perpetual daydreamer Liz Buxbaum gave her heart to Michael a long time ago. But her cool, aloof forever crush never really saw her before he moved away. Now that he’s back in town, Liz will do whatever it takes to get on his radar—and maybe snag him as a prom date—even befriend Wes Bennet.","Simon & Schuster Books for Young Readers (July 26, 2022)"
