"image","Title","Author","Synopsis","Publisher"
"[![When Breath Becomes Air](https://m.media-amazon.com/images/I/61gwba1pQnL._SL1500_.jpg'When Breath Becomes Air')](https://bookshop.org/a/113618/9780812988406)","[When Breath Becomes Air](https://bookshop.org/a/113618/9780812988406) (Hardcover)","Paul Kalanithi","At the age of thirty-six, on the verge of completing a decade’s worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live.","Random House (January 12, 2016)"
"[![Tina: The Inspiring Tale of a World-Changing Friendship Between One Man and a Dog](https://m.media-amazon.com/images/I/81IJ5fZnfJL._SL1500_.jpg'Tina: The Inspiring Tale of a World-Changing Friendship Between One Man and a Dog')](https://bookshop.org/a/113618/9780008725716)","[Tina: The Inspiring Tale of a World-Changing Friendship Between One Man and a Dog](https://bookshop.org/a/113618/9780008725716) (Hardcover)","Niall Harbison","When Niall came across a dog shackled to a short chain and in a poor state of health something reminded him of his personal battle with addiction. He knew he had to rescue her immediately – golden retrievers are rare in Thailand – but there was just something about this dog in particular that told him she was destined for more.","HarperElement (May 6, 2025)"
"[![My Next Breath](https://m.media-amazon.com/images/I/811Je6VQTgL._SL1500_.jpg'My Next Breath')](https://bookshop.org/a/113618/9781250383532)","[My Next Breath](https://bookshop.org/a/113618/9781250383532) (Hardcover)","Jeremy Renner","The gripping and inspiring story of acclaimed actor Jeremy Renner’s near-fatal accident, and what he learned about inner strength, endurance and hope as he overcame insurmountable odds to recover, one breath at a time.","Flatiron Books (April 29, 2025)"
"[![""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character](https://m.media-amazon.com/images/I/718D+tKM00L._SL1200_.jpg'""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character')](https://bookshop.org/a/113618/9780393355628)","[""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character](https://bookshop.org/a/113618/9780393355628) (Paperback)","Richard P. Feynman","Richard P. Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. In this lively work, Feynman recounts his experiences trading ideas on atomic physics with Einstein and cracking the uncrackable safes guarding the most deeply held nuclear secrets?and much more of an eyebrow-raising nature.","W. W. Norton & Company (February 6, 2018)"
"[![I Regret Almost Everything: A Memoir](https://m.media-amazon.com/images/I/71ry8+gxO6L._SL1500_.jpg'I Regret Almost Everything: A Memoir')](https://bookshop.org/a/113618/9781668017647)","[I Regret Almost Everything: A Memoir](https://bookshop.org/a/113618/9781668017647) (Hardcover)","Keith McNally","A memoir by the legendary proprietor of Balthazar, Pastis, Minetta Tavern, and Morandi, taking us from his gritty London childhood in the fifties to his serendipitous arrival in New York, where he founded the era-defining establishments the Odeon, Cafe Luxembourg, and Nell’s.","Gallery Books (May 6, 2025)"
