"image","Title","Author","Synopsis","Publisher"
"[![The Wishbone Kitchen Cookbook](https://m.media-amazon.com/images/I/81cE7q5P96L._SL1500_.jpg)](https://bookshop.org/a/113618/9780593835951)","[The Wishbone Kitchen Cookbook](https://bookshop.org/a/113618/9780593835951) (Hardcover)","Meredith Hayden","Inspired by years working as a chef in New York City and the Hamptons, as well as her childhood summers on Nantucket, Meredith Hayden makes food that is both unfussy and elegant—often with a touch of whimsy.","Ten Speed Press (May 6, 2025)"
"[![Nonna's House: Cooking and Reminiscing with the Italian Grandmothers of Enoteca Maria](https://m.media-amazon.com/images/I/81MpWl5X60L._SL1500_.jpg)](https://bookshop.org/a/113618/9781476774121)","[Nonna's House: Cooking and Reminiscing with the Italian Grandmothers of Enoteca Maria](https://bookshop.org/a/113618/9781476774121) (Paperback)","Jody Scaravella","Discover the heart and soul of Italian tradition with this exquisite collection filled with mouthwatering recipes and vibrant tales from the iconic grandmothers of Enoteca Maria—a one-of-a-kind Italian restaurant where a rotating roster of nonnas take center stage as master chefs.","Atria Books (April 22, 2025)"
"[![The Muscle Ladder](https://m.media-amazon.com/images/I/81HNjepZ1OL._SL1500_.jpg)](https://bookshop.org/a/113618/9781628604863)","[The Muscle Ladder](https://bookshop.org/a/113618/9781628604863) (Hardcover)","Jeff Nippard","The Muscle Ladder: Get Jacked Using Science is the best all-in-one science-based guide for building a strong and muscular physique.","Victory Belt Publishing (December 31, 2024)"
"[![National Geographic Road Atlas](https://m.media-amazon.com/images/I/81rRihqWqgL._SL1500_.jpg)](https://bookshop.org/a/113618/9780792289890)","[National Geographic Road Atlas](https://bookshop.org/a/113618/9780792289890) (Spiral-bound)","National Geographic Maps","National Geographic's Road Atlas: Adventure Edition, is the ideal companion for the next time you hit the road. Includes up-to-date road maps for all 50 U.S. States, plus Canada, Mexico, and Puerto Rico. Major cities and metropolitan areas are shown in detail with inset maps that include popular attractions, infrastructure and points-of-interest.","National Geographic Maps (June 10, 2024)"
"[![50 States, 5,000 Ideas](https://m.media-amazon.com/images/I/915CMFqDGdL._SL1500_.jpg)](https://bookshop.org/a/113618/9781426216909)","[50 States, 5,000 Ideas](https://bookshop.org/a/113618/9781426216909) (Paperback)","National Geographic","This richly illustrated book from the travel experts at National Geographic showcases the best travel experiences in every state, from the obvious to the unexpected.","National Geographic (February 7, 2017)"
