title,group,subgroup,author,format,publisher,pub_date,isbn,blurb,image_url
The Housemaid,Fiction,,Freida McFadden,Paperback,Grand Central Publishing,"August 23, 2022",978-1538742570,"Don’t miss the #1 <em>New York Times</em> and <em>USA Today</em> bestseller and addictive psychologi- cal thriller with a jaw-dropping twist that’s burning up Instagram and TikTok—Freida McFadden’s <em>The Housemaid</em> is perfect for fans of Ruth Ware, Lisa Jewell, and Verity.",https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
"Autism Out Loud: Life with a Child on the Spectrum, from Diagnosis to Young Adulthood",Nonfiction,Biography & Autobiography,Kate Swenson,Hardcover,Park Row,"April 1, 2025",978-0778368366,"In this moving narrative of resilience and pure love, three mothers share their experiences and learnings about life alongside autism.",https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
The Let Them Theory: A Life-Changing Tool That Millions of People Can’t Stop Talking About,Nonfiction,Self-Help & Advice,Mel Robbins,Hardcover,Hay House LLC,"December 24, 2024",978-1401971366,"Two simple words—Let Them—will set you free. Free from the opinions, drama, and judgments of others. Free from the exhausting cycle of trying to manage everything and everyone around you. The Let Them Theory puts the power to create a life you love back in your hands—and this book will show you exactly how to do it.",https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
"The New Menopause: Navigating Your Path Through Hormonal Change with Purpose, Power, and Facts 5k",Nonfiction,Lifestyle,Mary Claire Haver MD,Hardcover,Rodale Books,"April 30, 2024",978-0593796252,"Filling a gaping hole in menopause care, everything a woman needs to know to thrive during her hormonal transition and beyond, as well as the tools to help her take charge of her health at this pivotal life stage—by the bestselling author of The Galveston Diet.",https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
Abundance,"Left, Right, and Center",,Ezra Klein & Derek Thompson,Hardcover,Avid Reader Press / Simon & Schuster,"March 18, 2025",978-1668023488,"From bestselling authors and journalistic titans Ezra Klein and Derek Thompson, Abundance is a once-in-a-generation, paradigm-shifting call to renew a politics of plenty, face up to the failures of liberal governance, and abandon the chosen scarcities that have deformed American life.",https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
Bunny with a Big Heart,Children’s,,Marilyn Sadler,Hardcover,Random House Books for Young Readers,"January 4, 2022",978-0593434703,NATIONAL BESTSELLER • Perfect for Easter or celebrating bunnies all year round. A charming follow-up to the classic Beginner Book <em>It’s Not Easy Being a Bunny</em>!,https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
"The Hunger Games (Hunger Games, Book One)",Young Adult,,Suzanne Collins,Hardcover,Scholastic Press,"September 14, 2008",978-0439023481,The first novel in the worldwide bestselling series by Suzanne Collins!,https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
MELANIA,Recommended Books,,Melania Trump,Hardcover,Skyhorse Publishing,"October 8, 2024",978-1510782693,"Melania is a compelling and inspirational memoir that offers a glimpse into the life of a remarkable woman who has navigated challenges with grace and determination. In her memoir, Melania reflects on her Slovenian childhood, the pivotal moments that led her to the world of high fashion in Europe and New York, and the serendipitous meeting with Donald Trump, a chance encounter that forever changed the course of her life. Melania opens up about their courtship, life in the spotlight, and experiencing the joy of motherhood. She shares behind-thescenes stories from her time in the White House, shedding light on her advocacy work and the causes close to her heart. Melania offers an unprecedented look into her time as a First Lady who was born outside the United States—a role she embraced with honor and dedication. It brings readers into her world and presents an in-depth account of a woman who has led a remarkable life on her own terms. Melania Trump’s story is one of resilience and independence, showcasing her strength and unwavering commitment to her true self.",https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
The Agonies,Recommended Books,Bruce Wagner's Pick of the Week,Ben Faulkner,Paperback,Arcade Publishing,"March 25, 2025",978-1648211188,"When the filmmaker Eugene Kotlyarenko told me about a millennial writer named Ben Faulkner, he suggested I might like Faulkner’s unpublished novel, <em>The Agonies</em>. The director knew I had recently become a consultant for Arcade Publishing, a house that was acquired by the maverick Tony Lyon’s Skyhorse Publishing. (Arcade was founded by the man who discovered Samuel Beckett in Europe and brought Beckett to Grove Press; Arcade also put out works by Octavio Paz and E. M. Cioran.) I told him to send it. I loved <em>The Agonies</em>. Or rather, was astonished by it. The bildungs- roman naturally reminded of Salinger—but eclipsing that touchstone was the idiosyncratic, unpredictable, challengingly simple, gorgeous novel-mosaics created by a towering genius of our time, the Austrian novelist Thomas Bernhard. Faulkner’s prose continuously startled and provoked, which was a miracle in itself. <em>The Agonies</em> is a fearless, poetic gestalt, a New Wave bellwether with the same feel as Bernhard, who, for me, is one of the rare—very rare—handful of authors that are sui generis. In other words, those who cannot be born nor die nor be replaced. Among them are Celine, Genet, and Ben’s namesake, that other Faulkner, William. I was dou- bly shocked because I had begun to be of the mind that I would never be surprised by the work of a millennial. Forgive me if that sounds arrogant, but at seventy-one, I’ve been around and share the cynicism of my contemporaries. For many of us, American novels have become incestuous—rooted in the cringe echo chambers of academia and careful not to offend. Ben Faulkner doesn’t offend; his existence is offensive in itself. How lucky we are to be so rudely, gloriously awakened from our sleep.",https://syndetics.com/index.aspx?isbn=9780593831878/mc.gif&client=baltctypublib&upc=&oclc=1434572815
